GTM Type,Board Size,Game State,Train Dataset,Test Dataset,Log Folder,#Examples,Epochs,#Clauses,T,s,Train Accuracy,Test Accuracy,Train Time,Test Time,Total Time
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1821:23:22.008000,1000,100,10,30,2.0,87.0,87.0,1.3565633296966553,0.04414939880371094,112.14316153526306
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1821:25:37.090238,1000,50,10,10,2.0,89.9,87.0,2.88986873626709,0.03252530097961426,55.708104610443115
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1821:26:59.444108,2500,50,10,10,2.0,90.2,91.0,2.370285987854004,0.034552574157714844,131.24958848953247
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1821:29:56.529281,2500,100,10,10,2.0,90.44,91.0,2.5354182720184326,0.03485441207885742,267.35749316215515
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1821:34:59.538762,5000,50,10,10,2.0,89.3,91.0,4.534795761108398,0.034351348876953125,268.7893478870392
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1821:54:06.968515,5000,20,1000,500,1.0,73.88,100.0,5.3522629737854,0.00640106201171875,131.8919894695282
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1822:02:06.917048,5000,10,1000,1500,1.0,75.86,78.0,6.882170915603638,0.1897568702697754,71.11874485015869
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:06:41.767201,5000,10,1000,1500,1.0,88.24,89.4,6.538398265838623,0.11400413513183594,46.991968393325806
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:10:07.293329,5000,10,1000,400,1.0,87.32,87.4,4.70096230506897,0.10943078994750977,42.94913840293884
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:12:51.479717,5000,10,1000,400,2.0,81.84,79.4,4.178743362426758,0.1298997402191162,49.69980716705322
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:13:52.225737,5000,10,1000,200,2.0,64.58,66.2,3.5554118156433105,0.11661577224731445,43.50971007347107
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:14:46.004094,5000,10,5000,400,2.0,65.12,63.0,6.326018333435059,0.13462352752685547,51.30566334724426
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:15:47.321710,5000,10,5000,1300,2.0,65.92,63.0,5.3576507568359375,0.1356503963470459,51.06378483772278
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:18:17.324444,5000,10,5000,10,1.0,78.94,80.2,4.867596626281738,0.11403346061706543,44.71717381477356
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:20:41.589408,5000,10,100,400,1.0,95.22,95.6,6.096735954284668,0.11654806137084961,44.39358854293823
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:21:57.400399,5000,20,100,300,1.0,93.42,94.6,4.744642496109009,0.11006450653076172,81.35354566574097
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:23:37.127774,5000,20,100,300,1.2,95.86,97.39999999999999,3.1583187580108643,0.1007695198059082,76.3196177482605
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:25:11.783522,5000,20,100,300,1.3,95.88,96.6,3.135991334915161,0.10616016387939453,76.59964776039124
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:26:37.524741,5000,20,100,300,1.4,95.64,95.8,3.0990474224090576,0.09917473793029785,74.17422294616699
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:28:18.396133,5000,20,150,300,1.3,96.04,97.39999999999999,6.347271919250488,0.10248661041259766,80.13723802566528
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:32:58.754788,5000,20,50,300,1.3,95.98,96.8,3.0226311683654785,0.09774661064147949,71.99526000022888
